0.1	0
0.2	0
0.2	0
0.3	0
0.3	0
0.4	0
0.4	0
0.5	0
0.6	0
0.6	0
0.7	0
0.7	0
0.8	0
0.9	0
0.9	0
1.0	0
1.0	0
1.1	0
1.2	0
1.2	0
1.3	0
1.3	0
1.4	0
1.5	0
1.5	0
1.6	0
1.6	0
1.7	0
1.7	0
1.8	0
1.9	0
1.9	2
2.0	4
2.0	7
2.1	5
2.2	11
2.2	15
2.3	26
2.3	17
2.4	23
2.5	18
2.5	28
2.6	31
2.6	30
2.7	37
2.8	29
2.8	35
2.9	40
2.9	42
3.0	29
3.1	39
3.1	40
3.2	32
3.2	39
3.3	29
3.3	36
3.4	41
3.5	44
3.5	32
3.6	36
3.6	38
3.7	35
3.8	27
3.8	38
3.9	17
3.9	36
4.0	28
4.1	26
4.1	36
4.2	50
4.2	60
4.3	78
4.4	93
4.4	124
4.5	121
4.5	144
4.6	125
4.6	113
4.7	94
4.8	77
4.8	60
4.9	69
4.9	52
5.0	36
5.1	57
5.1	38
5.2	34
5.2	39
5.3	28
5.4	29
5.4	34
5.5	38
5.5	37
5.6	41
5.7	60
5.7	51
5.8	71
5.8	86
5.9	86
5.9	106
6.0	145
6.1	197
6.1	336
6.2	430
6.2	588
6.3	765
6.4	800
6.4	870
6.5	718
6.5	612
6.6	427
6.7	275
6.7	178
6.8	131
6.8	138
6.9	159
7.0	152
7.0	164
7.1	162
7.1	139
7.2	131
7.3	78
7.3	74
7.4	63
7.4	53
7.5	27
7.5	35
7.6	34
7.7	28
7.7	24
7.8	24
7.8	18
7.9	23
8.0	31
8.0	30
8.1	31
8.1	16
8.2	24
8.3	29
8.3	28
8.4	21
8.4	31
8.5	44
8.6	28
8.6	50
8.7	27
8.7	34
8.8	24
8.8	25
8.9	23
9.0	22
9.0	12
9.1	14
9.1	15
9.2	14
9.3	15
9.3	16
9.4	23
9.4	26
9.5	19
9.6	35
9.6	35
9.7	25
9.7	33
9.8	32
9.9	23
9.9	24
10.0	25
10.0	13
10.1	21
10.1	14
10.2	12
10.3	13
10.3	16
10.4	14
10.4	22
10.5	24
10.6	20
10.6	15
10.7	9
10.7	8
10.8	12
10.9	17
10.9	12
11.0	21
11.0	23
11.1	22
11.2	28
11.2	30
11.3	28
11.3	23
11.4	22
11.5	25
11.5	30
11.6	25
11.6	28
11.7	18
11.7	27
11.8	21
11.9	19
11.9	17
12.0	15
12.0	21
12.1	13
12.2	26
12.2	21
12.3	14
12.3	24
12.4	17
12.5	22
12.5	22
12.6	19
12.6	26
12.7	21
12.8	23
12.8	14
12.9	33
12.9	25
13.0	35
13.0	42
13.1	45
13.2	47
13.2	47
13.3	50
13.3	48
13.4	43
13.5	44
13.5	30
13.6	30
13.6	35
13.7	32
13.8	22
13.8	33
13.9	22
13.9	35
14.0	24
14.1	38
14.1	35
14.2	24
14.2	25
14.3	24
14.4	25
14.4	25
14.5	21
14.5	36
14.6	32
14.6	33
14.7	29
14.8	5594
