0.1	0
0.2	0
0.2	0
0.3	0
0.3	0
0.4	0
0.4	0
0.5	0
0.6	0
0.6	0
0.7	0
0.7	0
0.8	0
0.9	0
0.9	0
1.0	0
1.0	0
1.1	0
1.2	0
1.2	0
1.3	0
1.3	0
1.4	0
1.5	0
1.5	0
1.6	0
1.6	0
1.7	0
1.7	0
1.8	1
1.9	1
1.9	1
2.0	4
2.0	6
2.1	11
2.2	18
2.2	34
2.3	42
2.3	48
2.4	57
2.5	58
2.5	53
2.6	74
2.6	52
2.7	75
2.8	61
2.8	70
2.9	76
2.9	71
3.0	73
3.1	67
3.1	71
3.2	79
3.2	80
3.3	71
3.3	55
3.4	62
3.5	57
3.5	49
3.6	51
3.6	57
3.7	70
3.8	56
3.8	60
3.9	63
3.9	63
4.0	45
4.1	47
4.1	52
4.2	43
4.2	53
4.3	60
4.4	50
4.4	43
4.5	60
4.5	55
4.6	43
4.6	50
4.7	55
4.8	41
4.8	49
4.9	54
4.9	48
5.0	49
5.1	56
5.1	41
5.2	50
5.2	48
5.3	47
5.4	58
5.4	60
5.5	62
5.5	47
5.6	57
5.7	51
5.7	43
5.8	44
5.8	38
5.9	58
5.9	48
6.0	47
6.1	68
6.1	66
6.2	81
6.2	77
6.3	83
6.4	101
6.4	94
6.5	91
6.5	76
6.6	79
6.7	68
6.7	70
6.8	49
6.8	64
6.9	56
7.0	71
7.0	71
7.1	78
7.1	76
7.2	75
7.3	65
7.3	81
7.4	76
7.4	78
7.5	72
7.5	81
7.6	89
7.7	88
7.7	101
7.8	119
7.8	139
7.9	170
8.0	207
8.0	211
8.1	197
8.1	175
8.2	156
8.3	118
8.3	108
8.4	130
8.4	110
8.5	169
8.6	146
8.6	175
8.7	173
8.7	145
8.8	136
8.8	121
8.9	69
9.0	64
9.0	57
9.1	51
9.1	44
9.2	39
9.3	38
9.3	51
9.4	59
9.4	68
9.5	73
9.6	85
9.6	86
9.7	66
9.7	67
9.8	71
9.9	75
9.9	34
10.0	32
10.0	40
10.1	28
10.1	37
10.2	39
10.3	27
10.3	37
10.4	39
10.4	39
10.5	42
10.6	27
10.6	42
10.7	35
10.7	32
10.8	45
10.9	32
10.9	36
11.0	35
11.0	29
11.1	45
11.2	42
11.2	43
11.3	61
11.3	51
11.4	58
11.5	57
11.5	50
11.6	47
11.6	44
11.7	44
11.7	44
11.8	26
11.9	32
11.9	47
12.0	39
12.0	44
12.1	41
12.2	32
12.2	38
12.3	37
12.3	52
12.4	42
12.5	46
12.5	49
12.6	39
12.6	45
12.7	50
12.8	55
12.8	42
12.9	45
12.9	41
13.0	45
13.0	44
13.1	55
13.2	53
13.2	43
13.3	38
13.3	55
13.4	55
13.5	47
13.5	48
13.6	47
13.6	40
13.7	44
13.8	49
13.8	55
13.9	59
13.9	42
14.0	62
14.1	42
14.1	57
14.2	47
14.2	62
14.3	58
14.4	57
14.4	54
14.5	77
14.5	59
14.6	69
14.6	54
14.7	65
