0.1	0
0.2	0
0.2	0
0.3	0
0.3	0
0.4	0
0.4	0
0.5	0
0.6	0
0.6	0
0.7	0
0.7	0
0.8	0
0.9	0
0.9	0
1.0	0
1.0	0
1.1	0
1.2	0
1.2	0
1.3	0
1.3	0
1.4	0
1.5	0
1.5	0
1.6	0
1.6	0
1.7	0
1.7	0
1.8	0
1.9	0
1.9	0
2.0	0
2.0	1
2.1	0
2.2	0
2.2	1
2.3	3
2.3	0
2.4	0
2.5	1
2.5	1
2.6	1
2.6	1
2.7	1
2.8	0
2.8	0
2.9	0
2.9	0
3.0	2
3.1	1
3.1	0
3.2	1
3.2	0
3.3	0
3.3	0
3.4	1
3.5	0
3.5	2
3.6	1
3.6	1
3.7	1
3.8	2
3.8	1
3.9	3
3.9	0
4.0	2
4.1	0
4.1	1
4.2	0
4.2	2
4.3	0
4.4	0
4.4	3
4.5	1
4.5	1
4.6	1
4.6	4
4.7	4
4.8	3
4.8	3
4.9	3
4.9	1
5.0	1
5.1	2
5.1	2
5.2	1
5.2	0
5.3	2
5.4	3
5.4	3
5.5	2
5.5	2
5.6	4
5.7	0
5.7	2
5.8	2
5.8	2
5.9	8
5.9	4
6.0	4
6.1	2
6.1	0
6.2	4
6.2	3
6.3	5
6.4	7
6.4	6
6.5	10
6.5	9
6.6	5
6.7	6
6.7	5
6.8	2
6.8	2
6.9	5
7.0	5
7.0	5
7.1	10
7.1	15
7.2	16
7.3	20
7.3	17
7.4	26
7.4	41
7.5	28
7.5	29
7.6	23
7.7	24
7.7	16
7.8	19
7.8	18
7.9	10
8.0	20
8.0	39
8.1	76
8.1	105
8.2	198
8.3	294
8.3	403
8.4	453
8.4	519
8.5	486
8.6	380
8.6	305
8.7	219
8.7	139
8.8	64
8.8	42
8.9	23
9.0	15
9.0	14
9.1	8
9.1	17
9.2	19
9.3	36
9.3	70
9.4	87
9.4	172
9.5	228
9.6	319
9.6	344
9.7	386
9.7	432
9.8	450
9.9	371
9.9	281
10.0	216
10.0	168
10.1	140
10.1	90
10.2	57
10.3	49
10.3	26
10.4	9
10.4	7
10.5	4
10.6	0
10.6	3
10.7	3
10.7	0
10.8	6
10.9	1
10.9	10
11.0	13
11.0	13
11.1	18
11.2	31
11.2	26
11.3	32
11.3	37
11.4	34
11.5	24
11.5	17
11.6	20
11.6	24
11.7	16
11.7	6
11.8	6
11.9	6
11.9	5
12.0	2
12.0	1
12.1	1
12.2	1
12.2	1
12.3	1
12.3	2
12.4	0
12.5	0
12.5	0
12.6	0
12.6	1
12.7	0
12.8	0
12.8	0
12.9	0
12.9	0
13.0	0
13.0	0
13.1	0
13.2	1
13.2	0
13.3	0
13.3	0
13.4	2
13.5	0
13.5	0
13.6	0
13.6	0
13.7	0
13.8	1
13.8	0
13.9	2
13.9	2
14.0	0
14.1	2
14.1	2
14.2	0
14.2	0
14.3	0
14.4	1
14.4	0
14.5	0
14.5	0
14.6	1
14.6	0
14.7	0
14.8	116
